Наименование филиала ;Необходимый тип транспортного средства;Подана заявка;Выполнена заявка
Отдел МТО;Легковой административный транспорт;13.09.2022;13.09.2022
ВПС Некрасовка;Машина с носилками;13.09.2022;13.09.2022
ВПС Дегунино;Скорая помощь (Центр);13.09.2022;13.09.2022
ВПС Некрасовка;Машина с носилками;13.09.2022;13.09.2022
ВПС Дегунино;Машина с носилками;13.09.2022;13.09.2022
Ростокино;Машина с носилками;13.09.2022;14.09.2022
ВПС Хорошёво;Машина с носилками;13.09.2022;13.09.2022
ВПС Ростокино;Машина с носилками;13.09.2022;13.09.2022
ВПС Савеловский;Машина с носилками;13.09.2022;13.09.2022
ВПС ПМХ;Скорая помощь (Центр);13.09.2022;14.09.2022
ВПС ПМХ;Машина с носилками;13.09.2022;13.09.2022
ВПС Перово;Машина с носилками;13.09.2022;13.09.2022
Зеленоград;Машина с носилками;13.09.2022;14.09.2022
Зеленоград;Машина с носилками;13.09.2022;14.09.2022
ВПС Преображенское;Машина с носилками;13.09.2022;13.09.2022
Некрасовка;Машина с носилками;13.09.2022;14.09.2022
ВПС ПМХ;Машина с носилками;13.09.2022;14.09.2022
Администрация;Легковой административный транспорт;13.09.2022;14.09.2022
Администрация;Легковой административный транспорт;13.09.2022;14.09.2022
Респираторный центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );13.09.2022;14.09.2022
ВПС Дегунино;Машина с носилками;13.09.2022;14.09.2022
Администрация;Легковой административный транспорт;13.09.2022;15.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;13.09.2022;15.09.2022
Дегунино;Машина с носилками;13.09.2022;14.09.2022
Дегунино;Машина с носилками;13.09.2022;14.09.2022
Социальная служба;Машина с носилками;13.09.2022;16.09.2022
Савеловский (1 ОПМПВ);Скорая помощь (Центр);13.09.2022;14.09.2022
Социальная служба;Машина с носилками;13.09.2022;16.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;13.09.2022;14.09.2022
Координационный центр;Скорая помощь (Центр);13.09.2022;13.09.2022
Отдел МТО;Легковой административный транспорт;14.09.2022;14.09.2022
ВПС Савеловский;Машина с носилками;14.09.2022;14.09.2022
ВПС Люблино;Машина с носилками;14.09.2022;14.09.2022
ВПС Солнцево;Машина с носилками;14.09.2022;14.09.2022
ВПС Преображенское;Машина с носилками;14.09.2022;14.09.2022
ВПС Савеловский;Машина с носилками;14.09.2022;14.09.2022
Некрасовка;Машина с носилками;14.09.2022;15.09.2022
ВПС Куркино;Машина с носилками;14.09.2022;14.09.2022
ВПС Дегунино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );14.09.2022;14.09.2022
ВПС Царицыно;Машина с носилками;14.09.2022;14.09.2022
Администрация;Машина с носилками;14.09.2022;14.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;14.09.2022;15.09.2022
ВПС Бутово;Машина с носилками;14.09.2022;14.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;14.09.2022;15.09.2022
ДСУ Коломенское;Легковой административный транспорт;14.09.2022;15.09.2022
Дегунино;Машина с носилками;14.09.2022;15.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;14.09.2022;15.09.2022
Савеловский (3 ОПМПВ);Машина с носилками;14.09.2022;15.09.2022
Социальная служба;Машина с носилками;14.09.2022;20.09.2022
ВПС Хорошёво;Машина с носилками;14.09.2022;14.09.2022
Социальная служба;Машина с носилками;14.09.2022;19.09.2022
ВПС Вороново;Машина с носилками;14.09.2022;15.09.2022
ВПС ПМХ;Машина с носилками;14.09.2022;15.09.2022
ВПС Зеленоград;Машина с носилками;14.09.2022;15.09.2022
ВПС Зеленоград;Машина с носилками;14.09.2022;15.09.2022
Координационный центр;Скорая помощь (Центр);15.09.2022;14.09.2022
Координационный центр;Скорая помощь (Центр);15.09.2022;14.09.2022
Координационный центр;Скорая помощь (Центр);15.09.2022;14.09.2022
Отдел МТО;Легковой административный транспорт;15.09.2022;15.09.2022
ВПС Ростокино;Машина с носилками;15.09.2022;15.09.2022
ВПС Куркино;Машина с носилками;15.09.2022;15.09.2022
ВПС Савеловский;Машина с носилками;15.09.2022;15.09.2022
ВПС Вороново;Машина с носилками;15.09.2022;15.09.2022
ВПС ПМХ;Машина с носилками;15.09.2022;15.09.2022
ВПС Перово;Машина с носилками;15.09.2022;15.09.2022
ВПС Куркино;Машина с носилками;15.09.2022;15.09.2022
ВПС Царицыно;Машина с носилками;15.09.2022;15.09.2022
